"Sensitivity","Precision","TP","Truth","TP_tmp","FP","T_coverage","N_coverage","VAF","BND_threshold"
0.0135714285714286,1,19,1400,35,0,20,15,0.05,2
0.0135714285714286,1,19,1400,35,0,20,15,0.05,5
0.0135714285714286,1,19,1400,35,0,20,15,0.05,50
0.0142857142857143,1,20,1400,36,0,20,15,0.05,150
0.0142857142857143,1,20,1400,36,0,20,15,0.05,200
0.108571428571429,0.966666666666667,152,1400,232,8,20,15,0.1,2
0.109285714285714,0.975,153,1400,234,6,20,15,0.1,5
0.110714285714286,0.975206611570248,155,1400,236,6,20,15,0.1,50
0.112142857142857,0.975409836065574,157,1400,238,6,20,15,0.1,150
0.112142857142857,0.975409836065574,157,1400,238,6,20,15,0.1,200
0.373571428571429,0.949693251533742,523,1400,774,41,20,15,0.2,2
0.376428571428571,0.958230958230958,527,1400,780,34,20,15,0.2,5
0.38,0.958485958485959,532,1400,785,34,20,15,0.2,50
0.393571428571429,0.969879518072289,551,1400,805,25,20,15,0.2,150
0.394285714285714,0.971084337349398,552,1400,806,24,20,15,0.2,200
0.707142857142857,0.954121863799283,990,1400,1331,64,20,15,0.5,2
0.723571428571429,0.972701149425287,1013,1400,1354,38,20,15,0.5,5
0.735714285714286,0.973030518097942,1030,1400,1371,38,20,15,0.5,50
0.743571428571429,0.97529992942837,1041,1400,1382,35,20,15,0.5,150
0.743571428571429,0.97529992942837,1041,1400,1382,35,20,15,0.5,200
0.742142857142857,0.959694232105629,1039,1400,1381,58,20,15,0.8,2
0.755714285714286,0.975609756097561,1058,1400,1400,35,20,15,0.8,5
0.765714285714286,0.975845410628019,1072,1400,1414,35,20,15,0.8,50
0.767142857142857,0.975878704341833,1074,1400,1416,35,20,15,0.8,150
0.767142857142857,0.975878704341833,1074,1400,1416,35,20,15,0.8,200
0.743571428571429,0.959581881533101,1041,1400,1377,58,20,15,1,2
0.756428571428571,0.973482205163992,1059,1400,1395,38,20,15,1,5
0.762142857142857,0.973629424011103,1067,1400,1403,38,20,15,1,50
0.763571428571429,0.973665973665974,1069,1400,1405,38,20,15,1,150
0.763571428571429,0.973665973665974,1069,1400,1405,38,20,15,1,200
0.0135714285714286,1,19,1400,35,0,20,30,0.05,2
0.0135714285714286,1,19,1400,35,0,20,30,0.05,5
